"Economy","Code","Region","Income group","Lending category","Other (EMU or HIPC)","countrycode_en.x","countrycode_wb","recipient","total funding disbursed","iso3","countrycode_en.y"
"British Virgin Islands","VGB","Latin America & Caribbean","High income",NA,NA,"British Virgin Islands","VGB",NA,NA,NA,NA
"Virgin Islands (U.S.)","VIR","Latin America & Caribbean","High income",NA,NA,"U.S. Virgin Islands","VIR",NA,NA,NA,NA
"Vietnam","VNM","East Asia & Pacific","Lower middle income","IBRD",NA,"Vietnam","VNM","Viet Nam",1770468051,"VNM","Viet Nam"
"Vanuatu","VUT","East Asia & Pacific","Lower middle income","IDA",NA,"Vanuatu","VUT","Vanuatu",102616487,"VUT","Vanuatu"
"Samoa","WSM","East Asia & Pacific","Lower middle income","IDA",NA,"Samoa","WSM","Samoa",87874330,"WSM","Samoa"
"Kosovo","XKX","Europe & Central Asia","Upper middle income","IDA",NA,"Kosovo","XKX","Kosovo",154662845,"XKX",NA
"Yemen, Rep.","YEM","Middle East & North Africa","Low income","IDA",NA,"Yemen","YEM","Yemen",2219688775,"YEM","Yemen"
"South Africa","ZAF","Sub-Saharan Africa","Upper middle income","IBRD",NA,"South Africa","ZAF","South Africa",5799199491,"ZAF","South Africa"
"Zambia","ZMB","Sub-Saharan Africa","Low income","IDA","HIPC","Zambia","ZMB","Zambia",4280860565,"ZMB","Zambia"
"Zimbabwe","ZWE","Sub-Saharan Africa","Lower middle income","Blend",NA,"Zimbabwe","ZWE","Zimbabwe",3930996997,"ZWE","Zimbabwe"
NA,NA,NA,NA,NA,NA,NA,"COK","Cook Islands",122630485,"COK",NA
NA,NA,NA,NA,NA,NA,NA,"NIU","Niue",18646046,"NIU",NA
NA,NA,NA,NA,NA,NA,NA,"WLF","Wallis and Futuna",597198,"WLF",NA
NA,NA,NA,NA,NA,NA,NA,"SAH","Western Sahara",9701304,"SAH",NA
