"Economy","Code","Region","Income group","Lending category","Other (EMU or HIPC)","countrycode_en","countrycode_wb","region","country","capacity","score","year","capacity_category","category"
"Cameroon","CMR","Sub-Saharan Africa","Lower middle income","Blend","HIPC","Cameroon","CMR","African Region","Cameroon","Biosafety and Biosecurity",30,2017,"Prevent","yellow"
"Cameroon","CMR","Sub-Saharan Africa","Lower middle income","Blend","HIPC","Cameroon","CMR","African Region","Cameroon","Immunization",60,2017,"Prevent","yellow"
"Cameroon","CMR","Sub-Saharan Africa","Lower middle income","Blend","HIPC","Cameroon","CMR","African Region","Cameroon","National Laboratory System",40,2017,"Detect","yellow"
"Cameroon","CMR","Sub-Saharan Africa","Lower middle income","Blend","HIPC","Cameroon","CMR","African Region","Cameroon","Real-Time Surveillance",60,2017,"Detect","yellow"
"Cameroon","CMR","Sub-Saharan Africa","Lower middle income","Blend","HIPC","Cameroon","CMR","African Region","Cameroon","Reporting",40,2017,"Detect","yellow"
"Cameroon","CMR","Sub-Saharan Africa","Lower middle income","Blend","HIPC","Cameroon","CMR","African Region","Cameroon","Human Resources (Animal and human health sector)",40,2017,"Detect","yellow"
"Cameroon","CMR","Sub-Saharan Africa","Lower middle income","Blend","HIPC","Cameroon","CMR","African Region","Cameroon","Preparedness",30,2017,"Respond","yellow"
"Cameroon","CMR","Sub-Saharan Africa","Lower middle income","Blend","HIPC","Cameroon","CMR","African Region","Cameroon","Emergency Response Operations",30,2017,"Respond","yellow"
"Cameroon","CMR","Sub-Saharan Africa","Lower middle income","Blend","HIPC","Cameroon","CMR","African Region","Cameroon","Linking Public Health and Security Authorities",40,2017,"Respond","yellow"
"Cameroon","CMR","Sub-Saharan Africa","Lower middle income","Blend","HIPC","Cameroon","CMR","African Region","Cameroon","Medical Countermeasures",20,2017,"Respond","red"
"Cameroon","CMR","Sub-Saharan Africa","Lower middle income","Blend","HIPC","Cameroon","CMR","African Region","Cameroon","Risk Communication",40,2017,"Respond","yellow"
"Cameroon","CMR","Sub-Saharan Africa","Lower middle income","Blend","HIPC","Cameroon","CMR","African Region","Cameroon","Events Points of Entry (PoEs)",20,2017,"Other Hazards","red"
"Cameroon","CMR","Sub-Saharan Africa","Lower middle income","Blend","HIPC","Cameroon","CMR","African Region","Cameroon","Chemical Events",20,2017,"Other Hazards","red"
"Cameroon","CMR","Sub-Saharan Africa","Lower middle income","Blend","HIPC","Cameroon","CMR","African Region","Cameroon","Radiation Emergencies",40,2017,"Other Hazards","yellow"
"Congo, Dem. Rep.","COD","Sub-Saharan Africa","Low income","IDA","HIPC","Congo - Kinshasa","COD","African Region","Democratic Republic of the Congo","National Legislation, Policy and Financing",40,2018,"Prevent","yellow"
"Congo, Dem. Rep.","COD","Sub-Saharan Africa","Low income","IDA","HIPC","Congo - Kinshasa","COD","African Region","Democratic Republic of the Congo","IHR Coordination, Communication and Advocacy",40,2018,"Prevent","yellow"
"Congo, Dem. Rep.","COD","Sub-Saharan Africa","Low income","IDA","HIPC","Congo - Kinshasa","COD","African Region","Democratic Republic of the Congo","Antimicrobial Resistance",20,2018,"Prevent","red"
"Congo, Dem. Rep.","COD","Sub-Saharan Africa","Low income","IDA","HIPC","Congo - Kinshasa","COD","African Region","Democratic Republic of the Congo","Zoonotic Disease",40,2018,"Prevent","yellow"
"Congo, Dem. Rep.","COD","Sub-Saharan Africa","Low income","IDA","HIPC","Congo - Kinshasa","COD","African Region","Democratic Republic of the Congo","Food Safety",20,2018,"Prevent","red"
"Congo, Dem. Rep.","COD","Sub-Saharan Africa","Low income","IDA","HIPC","Congo - Kinshasa","COD","African Region","Democratic Republic of the Congo","Biosafety and Biosecurity",30,2018,"Prevent","yellow"
"Congo, Dem. Rep.","COD","Sub-Saharan Africa","Low income","IDA","HIPC","Congo - Kinshasa","COD","African Region","Democratic Republic of the Congo","Immunization",60,2018,"Prevent","yellow"
"Congo, Dem. Rep.","COD","Sub-Saharan Africa","Low income","IDA","HIPC","Congo - Kinshasa","COD","African Region","Democratic Republic of the Congo","National Laboratory System",40,2018,"Detect","yellow"
"Congo, Dem. Rep.","COD","Sub-Saharan Africa","Low income","IDA","HIPC","Congo - Kinshasa","COD","African Region","Democratic Republic of the Congo","Real-Time Surveillance",50,2018,"Detect","yellow"
"Congo, Dem. Rep.","COD","Sub-Saharan Africa","Low income","IDA","HIPC","Congo - Kinshasa","COD","African Region","Democratic Republic of the Congo","Reporting",50,2018,"Detect","yellow"
"Congo, Dem. Rep.","COD","Sub-Saharan Africa","Low income","IDA","HIPC","Congo - Kinshasa","COD","African Region","Democratic Republic of the Congo","Human Resources (Animal and human health sector)",40,2018,"Detect","yellow"
"Congo, Dem. Rep.","COD","Sub-Saharan Africa","Low income","IDA","HIPC","Congo - Kinshasa","COD","African Region","Democratic Republic of the Congo","Preparedness",20,2018,"Respond","red"
"Congo, Dem. Rep.","COD","Sub-Saharan Africa","Low income","IDA","HIPC","Congo - Kinshasa","COD","African Region","Democratic Republic of the Congo","Emergency Response Operations",30,2018,"Respond","yellow"
"Congo, Dem. Rep.","COD","Sub-Saharan Africa","Low income","IDA","HIPC","Congo - Kinshasa","COD","African Region","Democratic Republic of the Congo","Linking Public Health and Security Authorities",20,2018,"Respond","red"
"Congo, Dem. Rep.","COD","Sub-Saharan Africa","Low income","IDA","HIPC","Congo - Kinshasa","COD","African Region","Democratic Republic of the Congo","Medical Countermeasures",10,2018,"Respond","red"
"Congo, Dem. Rep.","COD","Sub-Saharan Africa","Low income","IDA","HIPC","Congo - Kinshasa","COD","African Region","Democratic Republic of the Congo","Risk Communication",30,2018,"Respond","yellow"
"Congo, Dem. Rep.","COD","Sub-Saharan Africa","Low income","IDA","HIPC","Congo - Kinshasa","COD","African Region","Democratic Republic of the Congo","Events Points of Entry (PoEs)",20,2018,"Other Hazards","red"
"Congo, Dem. Rep.","COD","Sub-Saharan Africa","Low income","IDA","HIPC","Congo - Kinshasa","COD","African Region","Democratic Republic of the Congo","Chemical Events",20,2018,"Other Hazards","red"
"Congo, Dem. Rep.","COD","Sub-Saharan Africa","Low income","IDA","HIPC","Congo - Kinshasa","COD","African Region","Democratic Republic of the Congo","Radiation Emergencies",40,2018,"Other Hazards","yellow"
"Congo, Rep.","COG","Sub-Saharan Africa","Lower middle income","Blend","HIPC","Congo - Brazzaville","COG","African Region","Congo","National Legislation, Policy and Financing",26,2019,"Prevent","yellow"
"Congo, Rep.","COG","Sub-Saharan Africa","Lower middle income","Blend","HIPC","Congo - Brazzaville","COG","African Region","Congo","IHR Coordination, Communication and Advocacy",20,2019,"Prevent","red"
"Congo, Rep.","COG","Sub-Saharan Africa","Lower middle income","Blend","HIPC","Congo - Brazzaville","COG","African Region","Congo","Antimicrobial Resistance",20,2019,"Prevent","red"
"Congo, Rep.","COG","Sub-Saharan Africa","Lower middle income","Blend","HIPC","Congo - Brazzaville","COG","African Region","Congo","Zoonotic Disease",20,2019,"Prevent","red"
"Congo, Rep.","COG","Sub-Saharan Africa","Lower middle income","Blend","HIPC","Congo - Brazzaville","COG","African Region","Congo","Food Safety",20,2019,"Prevent","red"
"Congo, Rep.","COG","Sub-Saharan Africa","Lower middle income","Blend","HIPC","Congo - Brazzaville","COG","African Region","Congo","Biosafety and Biosecurity",30,2019,"Prevent","yellow"
"Congo, Rep.","COG","Sub-Saharan Africa","Lower middle income","Blend","HIPC","Congo - Brazzaville","COG","African Region","Congo","Immunization",70,2019,"Prevent","green"
"Congo, Rep.","COG","Sub-Saharan Africa","Lower middle income","Blend","HIPC","Congo - Brazzaville","COG","African Region","Congo","National Laboratory System",20,2019,"Detect","red"
"Congo, Rep.","COG","Sub-Saharan Africa","Lower middle income","Blend","HIPC","Congo - Brazzaville","COG","African Region","Congo","Real-Time Surveillance",46,2019,"Detect","yellow"
"Congo, Rep.","COG","Sub-Saharan Africa","Lower middle income","Blend","HIPC","Congo - Brazzaville","COG","African Region","Congo","Reporting",50,2019,"Detect","yellow"
"Congo, Rep.","COG","Sub-Saharan Africa","Lower middle income","Blend","HIPC","Congo - Brazzaville","COG","African Region","Congo","Human Resources (Animal and human health sector)",40,2019,"Detect","yellow"
"Congo, Rep.","COG","Sub-Saharan Africa","Lower middle income","Blend","HIPC","Congo - Brazzaville","COG","African Region","Congo","Preparedness",20,2019,"Respond","red"
"Congo, Rep.","COG","Sub-Saharan Africa","Lower middle income","Blend","HIPC","Congo - Brazzaville","COG","African Region","Congo","Emergency Response Operations",26,2019,"Respond","yellow"
"Congo, Rep.","COG","Sub-Saharan Africa","Lower middle income","Blend","HIPC","Congo - Brazzaville","COG","African Region","Congo","Linking Public Health and Security Authorities",20,2019,"Respond","red"
"Congo, Rep.","COG","Sub-Saharan Africa","Lower middle income","Blend","HIPC","Congo - Brazzaville","COG","African Region","Congo","Medical Countermeasures",26,2019,"Respond","yellow"
"Congo, Rep.","COG","Sub-Saharan Africa","Lower middle income","Blend","HIPC","Congo - Brazzaville","COG","African Region","Congo","Risk Communication",24,2019,"Respond","yellow"
"Congo, Rep.","COG","Sub-Saharan Africa","Lower middle income","Blend","HIPC","Congo - Brazzaville","COG","African Region","Congo","Events Points of Entry (PoEs)",20,2019,"Other Hazards","red"
"Congo, Rep.","COG","Sub-Saharan Africa","Lower middle income","Blend","HIPC","Congo - Brazzaville","COG","African Region","Congo","Chemical Events",20,2019,"Other Hazards","red"
"Congo, Rep.","COG","Sub-Saharan Africa","Lower middle income","Blend","HIPC","Congo - Brazzaville","COG","African Region","Congo","Radiation Emergencies",20,2019,"Other Hazards","red"
"Colombia","COL","Latin America & Caribbean","Upper middle income","IBRD",NA,"Colombia","COL",NA,NA,NA,NA,NA,NA,NA
"Comoros","COM","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Comoros","COM","African Region","Comoros","National Legislation, Policy and Financing",40,2017,"Prevent","yellow"
"Comoros","COM","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Comoros","COM","African Region","Comoros","IHR Coordination, Communication and Advocacy",40,2017,"Prevent","yellow"
"Comoros","COM","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Comoros","COM","African Region","Comoros","Antimicrobial Resistance",20,2017,"Prevent","red"
"Comoros","COM","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Comoros","COM","African Region","Comoros","Zoonotic Disease",30,2017,"Prevent","yellow"
"Comoros","COM","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Comoros","COM","African Region","Comoros","Food Safety",40,2017,"Prevent","yellow"
"Comoros","COM","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Comoros","COM","African Region","Comoros","Biosafety and Biosecurity",20,2017,"Prevent","red"
"Comoros","COM","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Comoros","COM","African Region","Comoros","Immunization",70,2017,"Prevent","green"
"Comoros","COM","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Comoros","COM","African Region","Comoros","National Laboratory System",30,2017,"Detect","yellow"
"Comoros","COM","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Comoros","COM","African Region","Comoros","Real-Time Surveillance",50,2017,"Detect","yellow"
"Comoros","COM","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Comoros","COM","African Region","Comoros","Reporting",40,2017,"Detect","yellow"
"Comoros","COM","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Comoros","COM","African Region","Comoros","Human Resources (Animal and human health sector)",40,2017,"Detect","yellow"
"Comoros","COM","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Comoros","COM","African Region","Comoros","Preparedness",20,2017,"Respond","red"
"Comoros","COM","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Comoros","COM","African Region","Comoros","Emergency Response Operations",20,2017,"Respond","red"
"Comoros","COM","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Comoros","COM","African Region","Comoros","Linking Public Health and Security Authorities",40,2017,"Respond","yellow"
"Comoros","COM","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Comoros","COM","African Region","Comoros","Medical Countermeasures",10,2017,"Respond","red"
"Comoros","COM","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Comoros","COM","African Region","Comoros","Risk Communication",30,2017,"Respond","yellow"
"Comoros","COM","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Comoros","COM","African Region","Comoros","Events Points of Entry (PoEs)",20,2017,"Other Hazards","red"
"Comoros","COM","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Comoros","COM","African Region","Comoros","Chemical Events",20,2017,"Other Hazards","red"
"Comoros","COM","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Comoros","COM","African Region","Comoros","Radiation Emergencies",20,2017,"Other Hazards","red"
"Cabo Verde","CPV","Sub-Saharan Africa","Lower middle income","Blend",NA,"Cape Verde","CPV","African Region","Cabo Verde","National Legislation, Policy and Financing",40,2019,"Prevent","yellow"
"Cabo Verde","CPV","Sub-Saharan Africa","Lower middle income","Blend",NA,"Cape Verde","CPV","African Region","Cabo Verde","IHR Coordination, Communication and Advocacy",40,2019,"Prevent","yellow"
"Cabo Verde","CPV","Sub-Saharan Africa","Lower middle income","Blend",NA,"Cape Verde","CPV","African Region","Cabo Verde","Antimicrobial Resistance",30,2019,"Prevent","yellow"
"Cabo Verde","CPV","Sub-Saharan Africa","Lower middle income","Blend",NA,"Cape Verde","CPV","African Region","Cabo Verde","Zoonotic Disease",40,2019,"Prevent","yellow"
"Cabo Verde","CPV","Sub-Saharan Africa","Lower middle income","Blend",NA,"Cape Verde","CPV","African Region","Cabo Verde","Food Safety",20,2019,"Prevent","red"
"Cabo Verde","CPV","Sub-Saharan Africa","Lower middle income","Blend",NA,"Cape Verde","CPV","African Region","Cabo Verde","Biosafety and Biosecurity",30,2019,"Prevent","yellow"
"Cabo Verde","CPV","Sub-Saharan Africa","Lower middle income","Blend",NA,"Cape Verde","CPV","African Region","Cabo Verde","Immunization",100,2019,"Prevent","green"
"Cabo Verde","CPV","Sub-Saharan Africa","Lower middle income","Blend",NA,"Cape Verde","CPV","African Region","Cabo Verde","National Laboratory System",60,2019,"Detect","yellow"
"Cabo Verde","CPV","Sub-Saharan Africa","Lower middle income","Blend",NA,"Cape Verde","CPV","African Region","Cabo Verde","Real-Time Surveillance",46,2019,"Detect","yellow"
"Cabo Verde","CPV","Sub-Saharan Africa","Lower middle income","Blend",NA,"Cape Verde","CPV","African Region","Cabo Verde","Reporting",60,2019,"Detect","yellow"
"Cabo Verde","CPV","Sub-Saharan Africa","Lower middle income","Blend",NA,"Cape Verde","CPV","African Region","Cabo Verde","Human Resources (Animal and human health sector)",35,2019,"Detect","yellow"
"Cabo Verde","CPV","Sub-Saharan Africa","Lower middle income","Blend",NA,"Cape Verde","CPV","African Region","Cabo Verde","Preparedness",40,2019,"Respond","yellow"
"Cabo Verde","CPV","Sub-Saharan Africa","Lower middle income","Blend",NA,"Cape Verde","CPV","African Region","Cabo Verde","Emergency Response Operations",46,2019,"Respond","yellow"
"Cabo Verde","CPV","Sub-Saharan Africa","Lower middle income","Blend",NA,"Cape Verde","CPV","African Region","Cabo Verde","Linking Public Health and Security Authorities",40,2019,"Respond","yellow"
"Cabo Verde","CPV","Sub-Saharan Africa","Lower middle income","Blend",NA,"Cape Verde","CPV","African Region","Cabo Verde","Medical Countermeasures",20,2019,"Respond","red"
"Cabo Verde","CPV","Sub-Saharan Africa","Lower middle income","Blend",NA,"Cape Verde","CPV","African Region","Cabo Verde","Risk Communication",48,2019,"Respond","yellow"
"Cabo Verde","CPV","Sub-Saharan Africa","Lower middle income","Blend",NA,"Cape Verde","CPV","African Region","Cabo Verde","Events Points of Entry (PoEs)",30,2019,"Other Hazards","yellow"
"Cabo Verde","CPV","Sub-Saharan Africa","Lower middle income","Blend",NA,"Cape Verde","CPV","African Region","Cabo Verde","Chemical Events",40,2019,"Other Hazards","yellow"
"Cabo Verde","CPV","Sub-Saharan Africa","Lower middle income","Blend",NA,"Cape Verde","CPV","African Region","Cabo Verde","Radiation Emergencies",20,2019,"Other Hazards","red"
"Costa Rica","CRI","Latin America & Caribbean","Upper middle income","IBRD",NA,"Costa Rica","CRI",NA,NA,NA,NA,NA,NA,NA
"Cuba","CUB","Latin America & Caribbean","Upper middle income",NA,NA,"Cuba","CUB",NA,NA,NA,NA,NA,NA,NA
"Curaçao","CUW","Latin America & Caribbean","High income",NA,NA,"Curaçao","CUW",NA,NA,NA,NA,NA,NA,NA
"Cayman Islands","CYM","Latin America & Caribbean","High income",NA,NA,"Cayman Islands","CYM",NA,NA,NA,NA,NA,NA,NA
"Cyprus","CYP","Europe & Central Asia","High income",NA,"EMU","Cyprus","CYP",NA,NA,NA,NA,NA,NA,NA
"Czech Republic","CZE","Europe & Central Asia","High income",NA,NA,"Czechia","CZE",NA,NA,NA,NA,NA,NA,NA
"Germany","DEU","Europe & Central Asia","High income",NA,"EMU","Germany","DEU",NA,NA,NA,NA,NA,NA,NA
"Djibouti","DJI","Middle East & North Africa","Lower middle income","IDA",NA,"Djibouti","DJI","Eastern Mediterranean Region","Djibouti","National Legislation, Policy and Financing",40,2018,"Prevent","yellow"
"Djibouti","DJI","Middle East & North Africa","Lower middle income","IDA",NA,"Djibouti","DJI","Eastern Mediterranean Region","Djibouti","IHR Coordination, Communication and Advocacy",20,2018,"Prevent","red"
"Djibouti","DJI","Middle East & North Africa","Lower middle income","IDA",NA,"Djibouti","DJI","Eastern Mediterranean Region","Djibouti","Antimicrobial Resistance",20,2018,"Prevent","red"
"Djibouti","DJI","Middle East & North Africa","Lower middle income","IDA",NA,"Djibouti","DJI","Eastern Mediterranean Region","Djibouti","Zoonotic Disease",30,2018,"Prevent","yellow"
"Djibouti","DJI","Middle East & North Africa","Lower middle income","IDA",NA,"Djibouti","DJI","Eastern Mediterranean Region","Djibouti","Food Safety",40,2018,"Prevent","yellow"
"Djibouti","DJI","Middle East & North Africa","Lower middle income","IDA",NA,"Djibouti","DJI","Eastern Mediterranean Region","Djibouti","Biosafety and Biosecurity",20,2018,"Prevent","red"
"Djibouti","DJI","Middle East & North Africa","Lower middle income","IDA",NA,"Djibouti","DJI","Eastern Mediterranean Region","Djibouti","Immunization",70,2018,"Prevent","green"
"Djibouti","DJI","Middle East & North Africa","Lower middle income","IDA",NA,"Djibouti","DJI","Eastern Mediterranean Region","Djibouti","National Laboratory System",40,2018,"Detect","yellow"
"Djibouti","DJI","Middle East & North Africa","Lower middle income","IDA",NA,"Djibouti","DJI","Eastern Mediterranean Region","Djibouti","Real-Time Surveillance",40,2018,"Detect","yellow"
"Djibouti","DJI","Middle East & North Africa","Lower middle income","IDA",NA,"Djibouti","DJI","Eastern Mediterranean Region","Djibouti","Reporting",40,2018,"Detect","yellow"
"Djibouti","DJI","Middle East & North Africa","Lower middle income","IDA",NA,"Djibouti","DJI","Eastern Mediterranean Region","Djibouti","Human Resources (Animal and human health sector)",20,2018,"Detect","red"
"Djibouti","DJI","Middle East & North Africa","Lower middle income","IDA",NA,"Djibouti","DJI","Eastern Mediterranean Region","Djibouti","Preparedness",20,2018,"Respond","red"
"Djibouti","DJI","Middle East & North Africa","Lower middle income","IDA",NA,"Djibouti","DJI","Eastern Mediterranean Region","Djibouti","Emergency Response Operations",20,2018,"Respond","red"
"Djibouti","DJI","Middle East & North Africa","Lower middle income","IDA",NA,"Djibouti","DJI","Eastern Mediterranean Region","Djibouti","Linking Public Health and Security Authorities",20,2018,"Respond","red"
"Djibouti","DJI","Middle East & North Africa","Lower middle income","IDA",NA,"Djibouti","DJI","Eastern Mediterranean Region","Djibouti","Medical Countermeasures",10,2018,"Respond","red"
"Djibouti","DJI","Middle East & North Africa","Lower middle income","IDA",NA,"Djibouti","DJI","Eastern Mediterranean Region","Djibouti","Risk Communication",30,2018,"Respond","yellow"
"Djibouti","DJI","Middle East & North Africa","Lower middle income","IDA",NA,"Djibouti","DJI","Eastern Mediterranean Region","Djibouti","Events Points of Entry (PoEs)",30,2018,"Other Hazards","yellow"
"Djibouti","DJI","Middle East & North Africa","Lower middle income","IDA",NA,"Djibouti","DJI","Eastern Mediterranean Region","Djibouti","Chemical Events",20,2018,"Other Hazards","red"
"Djibouti","DJI","Middle East & North Africa","Lower middle income","IDA",NA,"Djibouti","DJI","Eastern Mediterranean Region","Djibouti","Radiation Emergencies",20,2018,"Other Hazards","red"
"Dominica","DMA","Latin America & Caribbean","Upper middle income","Blend",NA,"Dominica","DMA",NA,NA,NA,NA,NA,NA,NA
"Denmark","DNK","Europe & Central Asia","High income",NA,NA,"Denmark","DNK",NA,NA,NA,NA,NA,NA,NA
"Dominican Republic","DOM","Latin America & Caribbean","Upper middle income","IBRD",NA,"Dominican Republic","DOM",NA,NA,NA,NA,NA,NA,NA
"Algeria","DZA","Middle East & North Africa","Lower middle income","IBRD",NA,"Algeria","DZA",NA,NA,NA,NA,NA,NA,NA
"Ecuador","ECU","Latin America & Caribbean","Upper middle income","IBRD",NA,"Ecuador","ECU",NA,NA,NA,NA,NA,NA,NA
"Egypt, Arab Rep.","EGY","Middle East & North Africa","Lower middle income","IBRD",NA,"Egypt","EGY",NA,NA,NA,NA,NA,NA,NA
"Eritrea","ERI","Sub-Saharan Africa","Low income","IDA","HIPC","Eritrea","ERI","African Region","Eritrea","National Legislation, Policy and Financing",40,2016,"Prevent","yellow"
"Eritrea","ERI","Sub-Saharan Africa","Low income","IDA","HIPC","Eritrea","ERI","African Region","Eritrea","IHR Coordination, Communication and Advocacy",40,2016,"Prevent","yellow"
"Eritrea","ERI","Sub-Saharan Africa","Low income","IDA","HIPC","Eritrea","ERI","African Region","Eritrea","Antimicrobial Resistance",30,2016,"Prevent","yellow"
"Eritrea","ERI","Sub-Saharan Africa","Low income","IDA","HIPC","Eritrea","ERI","African Region","Eritrea","Zoonotic Disease",60,2016,"Prevent","yellow"
"Eritrea","ERI","Sub-Saharan Africa","Low income","IDA","HIPC","Eritrea","ERI","African Region","Eritrea","Food Safety",40,2016,"Prevent","yellow"
"Eritrea","ERI","Sub-Saharan Africa","Low income","IDA","HIPC","Eritrea","ERI","African Region","Eritrea","Biosafety and Biosecurity",40,2016,"Prevent","yellow"
"Eritrea","ERI","Sub-Saharan Africa","Low income","IDA","HIPC","Eritrea","ERI","African Region","Eritrea","Immunization",90,2016,"Prevent","green"
"Eritrea","ERI","Sub-Saharan Africa","Low income","IDA","HIPC","Eritrea","ERI","African Region","Eritrea","National Laboratory System",60,2016,"Detect","yellow"
"Eritrea","ERI","Sub-Saharan Africa","Low income","IDA","HIPC","Eritrea","ERI","African Region","Eritrea","Real-Time Surveillance",60,2016,"Detect","yellow"
"Eritrea","ERI","Sub-Saharan Africa","Low income","IDA","HIPC","Eritrea","ERI","African Region","Eritrea","Reporting",40,2016,"Detect","yellow"
"Eritrea","ERI","Sub-Saharan Africa","Low income","IDA","HIPC","Eritrea","ERI","African Region","Eritrea","Human Resources (Animal and human health sector)",40,2016,"Detect","yellow"
"Eritrea","ERI","Sub-Saharan Africa","Low income","IDA","HIPC","Eritrea","ERI","African Region","Eritrea","Preparedness",30,2016,"Respond","yellow"
"Eritrea","ERI","Sub-Saharan Africa","Low income","IDA","HIPC","Eritrea","ERI","African Region","Eritrea","Emergency Response Operations",20,2016,"Respond","red"
"Eritrea","ERI","Sub-Saharan Africa","Low income","IDA","HIPC","Eritrea","ERI","African Region","Eritrea","Linking Public Health and Security Authorities",60,2016,"Respond","yellow"
"Eritrea","ERI","Sub-Saharan Africa","Low income","IDA","HIPC","Eritrea","ERI","African Region","Eritrea","Medical Countermeasures",20,2016,"Respond","red"
"Eritrea","ERI","Sub-Saharan Africa","Low income","IDA","HIPC","Eritrea","ERI","African Region","Eritrea","Risk Communication",60,2016,"Respond","yellow"
"Eritrea","ERI","Sub-Saharan Africa","Low income","IDA","HIPC","Eritrea","ERI","African Region","Eritrea","Events Points of Entry (PoEs)",40,2016,"Other Hazards","yellow"
"Eritrea","ERI","Sub-Saharan Africa","Low income","IDA","HIPC","Eritrea","ERI","African Region","Eritrea","Chemical Events",30,2016,"Other Hazards","yellow"
"Eritrea","ERI","Sub-Saharan Africa","Low income","IDA","HIPC","Eritrea","ERI","African Region","Eritrea","Radiation Emergencies",20,2016,"Other Hazards","red"
"Spain","ESP","Europe & Central Asia","High income",NA,"EMU","Spain","ESP",NA,NA,NA,NA,NA,NA,NA
"Estonia","EST","Europe & Central Asia","High income",NA,"EMU","Estonia","EST",NA,NA,NA,NA,NA,NA,NA
"Ethiopia","ETH","Sub-Saharan Africa","Low income","IDA","HIPC","Ethiopia","ETH","African Region","Ethiopia","National Legislation, Policy and Financing",80,2016,"Prevent","green"
"Ethiopia","ETH","Sub-Saharan Africa","Low income","IDA","HIPC","Ethiopia","ETH","African Region","Ethiopia","IHR Coordination, Communication and Advocacy",60,2016,"Prevent","yellow"
"Ethiopia","ETH","Sub-Saharan Africa","Low income","IDA","HIPC","Ethiopia","ETH","African Region","Ethiopia","Antimicrobial Resistance",40,2016,"Prevent","yellow"
"Ethiopia","ETH","Sub-Saharan Africa","Low income","IDA","HIPC","Ethiopia","ETH","African Region","Ethiopia","Zoonotic Disease",60,2016,"Prevent","yellow"
"Ethiopia","ETH","Sub-Saharan Africa","Low income","IDA","HIPC","Ethiopia","ETH","African Region","Ethiopia","Food Safety",40,2016,"Prevent","yellow"
"Ethiopia","ETH","Sub-Saharan Africa","Low income","IDA","HIPC","Ethiopia","ETH","African Region","Ethiopia","Biosafety and Biosecurity",40,2016,"Prevent","yellow"
"Ethiopia","ETH","Sub-Saharan Africa","Low income","IDA","HIPC","Ethiopia","ETH","African Region","Ethiopia","Immunization",70,2016,"Prevent","green"
"Ethiopia","ETH","Sub-Saharan Africa","Low income","IDA","HIPC","Ethiopia","ETH","African Region","Ethiopia","National Laboratory System",60,2016,"Detect","yellow"
"Ethiopia","ETH","Sub-Saharan Africa","Low income","IDA","HIPC","Ethiopia","ETH","African Region","Ethiopia","Real-Time Surveillance",60,2016,"Detect","yellow"
"Ethiopia","ETH","Sub-Saharan Africa","Low income","IDA","HIPC","Ethiopia","ETH","African Region","Ethiopia","Reporting",50,2016,"Detect","yellow"
"Ethiopia","ETH","Sub-Saharan Africa","Low income","IDA","HIPC","Ethiopia","ETH","African Region","Ethiopia","Human Resources (Animal and human health sector)",40,2016,"Detect","yellow"
"Ethiopia","ETH","Sub-Saharan Africa","Low income","IDA","HIPC","Ethiopia","ETH","African Region","Ethiopia","Preparedness",50,2016,"Respond","yellow"
"Ethiopia","ETH","Sub-Saharan Africa","Low income","IDA","HIPC","Ethiopia","ETH","African Region","Ethiopia","Emergency Response Operations",30,2016,"Respond","yellow"
"Ethiopia","ETH","Sub-Saharan Africa","Low income","IDA","HIPC","Ethiopia","ETH","African Region","Ethiopia","Linking Public Health and Security Authorities",40,2016,"Respond","yellow"
"Ethiopia","ETH","Sub-Saharan Africa","Low income","IDA","HIPC","Ethiopia","ETH","African Region","Ethiopia","Medical Countermeasures",40,2016,"Respond","yellow"
"Ethiopia","ETH","Sub-Saharan Africa","Low income","IDA","HIPC","Ethiopia","ETH","African Region","Ethiopia","Risk Communication",60,2016,"Respond","yellow"
"Ethiopia","ETH","Sub-Saharan Africa","Low income","IDA","HIPC","Ethiopia","ETH","African Region","Ethiopia","Events Points of Entry (PoEs)",40,2016,"Other Hazards","yellow"
"Ethiopia","ETH","Sub-Saharan Africa","Low income","IDA","HIPC","Ethiopia","ETH","African Region","Ethiopia","Chemical Events",20,2016,"Other Hazards","red"
"Ethiopia","ETH","Sub-Saharan Africa","Low income","IDA","HIPC","Ethiopia","ETH","African Region","Ethiopia","Radiation Emergencies",40,2016,"Other Hazards","yellow"
"Finland","FIN","Europe & Central Asia","High income",NA,"EMU","Finland","FIN","European Region","Finland","National Legislation, Policy and Financing",90,2017,"Prevent","green"
